央视频道,#genre#
CCTV1 综合频道,http://stream4.jlntv.cn/cctv1/sd/live.m3u8
CCTV1 综合频道,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV2 财经频道,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV2 财经频道,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV3 综艺频道,http://121.31.30.87:8085/ysten-business/live/cctv-3/1.m3u8
CCTV3 综艺频道,http://112.50.243.8/PLTV/88888888/224/3221225924/1.m3u8
CCTV4 中文国际,http://120.221.5.101:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4 中文国际,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV5 体育频道,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV5 体育赛事,http://112.50.243.8/PLTV/88888888/224/3221225925/1.m3u8
CCTV5 体育+,http://112.50.243.8/PLTV/88888888/224/3221225939/1.m3u8
CCTV6 电影频道,http://121.31.30.91:8085/ysten-business/live/cctv-6/1.m3u8
CCTV6 电影频道,http://112.50.243.8/PLTV/88888888/224/3221225926/1.m3u8
CCTV7 国防军事,http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8
CCTV7 国防军事,http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8
CCTV8 视剧频道,http://121.31.30.91:8085/ysten-business/live/cctv-8/1.m3u8
CCTV8 视剧频道,http://112.50.243.8/PLTV/88888888/224/3221225928/1.m3u8
CCTV9 记录频道,http://39.134.176.148/PLTV/88888888/224/3221226561/index.m3u8
CCTV9 记录频道,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV10 科教频道,http://121.31.30.87:8085/ysten-business/live/cctv-10/1.m3u8
CCTV10 科教频道,http://112.50.243.8/PLTV/88888888/224/3221225931/1.m3u8
CCTV11 戏曲频道,http://121.31.30.87:8085/ysten-business/live/cctv-11/1.m3u8
CCTV11 戏曲频道,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV12 社会与法,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
CCTV13 新闻联播,http://39.134.65.162/PLTV/88888888/224/3221225515/index.m3u8
CCTV13 新闻联播,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV13 新闻联播,http://hd1.91kds.cn/b9/aishang.m3u8?id=cctv13
CCTV14 少儿频道,http://121.31.30.87:8085/ysten-business/live/cctv-14/1.m3u8
CCTV14 少儿频道,http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV15 音乐频道,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV17 农业农村,http://120.221.5.111:8089/PLTV/88888888/224/3221226093/index.m3u8
CGTN 国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN document,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CETV1 中国教育频道,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
